free_m : used_m : free_s : used_s
474.1 : 442.7 : 848.3 : 175.7
457.4 : 459.4 : 848.3 : 175.7
440.1 : 476.7 : 848.3 : 175.7
422.9 : 493.9 : 848.3 : 175.7
406.2 : 510.6 : 848.3 : 175.7
391.5 : 525.3 : 848.3 : 175.7
373.0 : 543.7 : 848.3 : 175.7
356.9 : 559.9 : 848.3 : 175.7
340.9 : 575.9 : 848.3 : 175.7
323.2 : 593.6 : 848.3 : 175.7
308.1 : 608.7 : 848.3 : 175.7
290.6 : 626.1 : 848.3 : 175.7
275.0 : 641.7 : 848.3 : 175.7
257.9 : 658.8 : 848.3 : 175.7
237.8 : 679.0 : 848.3 : 175.7
225.0 : 691.8 : 848.3 : 175.7
208.4 : 708.3 : 848.3 : 175.7
192.4 : 724.2 : 848.3 : 175.7
176.3 : 740.3 : 848.3 : 175.7
160.9 : 755.8 : 848.3 : 175.7
146.0 : 770.6 : 848.3 : 175.7
129.8 : 786.8 : 848.3 : 175.7
117.8 : 798.8 : 848.3 : 175.7
102.4 : 814.2 : 848.3 : 175.7
83.7 : 832.9 : 848.3 : 175.7
71.0 : 845.6 : 848.3 : 175.7
64.8 : 855.9 : 847.2 : 176.8
66.3 : 854.0 : 846.7 : 177.3
61.9 : 853.8 : 830.8 : 193.2
65.3 : 848.4 : 807.7 : 216.3
72.4 : 842.5 : 786.3 : 237.7
64.2 : 850.6 : 779.2 : 244.8
69.1 : 846.1 : 764.9 : 259.1
65.6 : 850.5 : 750.1 : 273.9
76.3 : 841.1 : 730.0 : 294.0
63.0 : 854.6 : 723.6 : 300.4
64.6 : 853.6 : 709.6 : 314.4
64.3 : 854.5 : 697.1 : 326.9
68.7 : 850.7 : 683.8 : 340.2
63.3 : 856.8 : 670.8 : 353.2
70.3 : 850.8 : 651.5 : 372.5
68.2 : 853.4 : 638.7 : 385.3
63.2 : 858.7 : 626.4 : 397.6
64.5 : 857.5 : 613.7 : 410.3
73.9 : 848.3 : 598.4 : 425.6
68.3 : 854.1 : 585.8 : 438.2
85.3 : 837.5 : 561.4 : 462.6
69.1 : 853.5 : 561.4 : 462.6
72.2 : 850.6 : 548.6 : 475.4
69.4 : 853.3 : 539.7 : 484.3
64.1 : 858.7 : 530.0 : 494.0
72.0 : 851.1 : 505.1 : 518.9
60.3 : 862.5 : 499.0 : 525.0
70.5 : 852.4 : 485.1 : 538.9
69.5 : 853.7 : 472.0 : 552.0
63.4 : 859.6 : 467.2 : 556.8
69.9 : 853.1 : 451.4 : 572.6
65.0 : 858.2 : 439.2 : 584.8
71.0 : 852.3 : 422.4 : 601.6
63.1 : 860.1 : 416.1 : 607.9
77.5 : 845.9 : 392.4 : 631.6
64.2 : 859.0 : 392.2 : 631.8
69.2 : 854.0 : 372.8 : 651.2
69.0 : 854.2 : 365.1 : 658.9
71.5 : 851.8 : 352.6 : 671.4
68.8 : 854.5 : 340.5 : 683.5
71.0 : 852.3 : 327.8 : 696.2
64.6 : 858.7 : 321.3 : 702.7
66.0 : 858.5 : 308.9 : 715.1
76.3 : 848.7 : 291.5 : 732.5
61.4 : 859.9 : 291.3 : 732.7
58.3 : 862.4 : 288.1 : 735.9
63.3 : 859.4 : 275.2 : 748.8
59.9 : 861.4 : 271.2 : 752.8
68.8 : 852.0 : 245.9 : 778.1
60.8 : 859.6 : 244.1 : 779.9
63.3 : 857.3 : 228.2 : 795.8
67.0 : 853.6 : 215.4 : 808.6
68.8 : 852.2 : 203.8 : 820.2
63.5 : 857.1 : 198.0 : 826.0
71.9 : 849.2 : 178.3 : 845.7
67.4 : 854.1 : 165.6 : 858.4
70.3 : 851.5 : 153.6 : 870.4
59.0 : 862.8 : 151.8 : 872.2
70.9 : 851.4 : 136.2 : 887.8
59.7 : 862.6 : 134.8 : 889.2
69.3 : 853.2 : 119.3 : 904.7
68.6 : 853.9 : 112.3 : 911.7
63.5 : 859.0 : 100.6 : 923.4
64.0 : 858.7 : 95.8 : 928.2
64.8 : 857.9 : 83.1 : 940.9
75.5 : 847.5 : 58.1 : 965.9
60.2 : 862.3 : 58.1 : 965.9
69.8 : 852.8 : 45.1 : 978.9
72.7 : 850.0 : 39.3 : 984.7
63.2 : 859.5 : 34.7 : 989.3
66.0 : 856.9 : 15.0 : 1009.0
65.4 : 857.5 : 8.5 : 1015.5
