time : mem
0:01.28 : 93.8
0:01.45 : 93.3
0:01.62 : 93.3
0:01.79 : 100.0
0:01.94 : 86.7
0:02.11 : 93.3
0:02.28 : 93.3
0:02.44 : 93.3
0:02.60 : 86.7
0:02.77 : 93.3
0:02.94 : 93.3
0:03.10 : 86.7
0:03.26 : 86.7
0:03.42 : 93.3
0:03.59 : 100.0
0:03.73 : 86.7
0:03.90 : 93.3
0:04.06 : 81.2
0:04.22 : 81.2
0:04.37 : 86.7
0:04.53 : 86.7
0:04.69 : 93.3
0:04.85 : 93.3
0:05.00 : 86.7
0:05.16 : 86.7
0:05.32 : 86.7
0:05.47 : 80.0
0:05.61 : 80.0
0:05.76 : 80.0
0:05.93 : 86.7
0:06.07 : 73.3
0:06.22 : 86.7
0:06.37 : 80.0
0:06.53 : 93.3
0:06.67 : 93.3
0:06.81 : 73.3
0:06.95 : 73.3
0:07.12 : 93.3
0:07.25 : 86.7
0:07.39 : 73.3
0:07.54 : 80.0
0:07.68 : 80.0
0:07.81 : 73.3
0:07.95 : 73.3
0:08.10 : 80.0
0:08.23 : 73.3
0:08.36 : 66.7
0:08.51 : 80.0
0:08.63 : 73.3
0:08.77 : 73.3
0:08.91 : 87.5
0:09.02 : 66.7
0:09.16 : 75.0
0:09.27 : 68.8
0:09.40 : 73.3
0:09.55 : 86.7
0:09.65 : 50.0
0:09.80 : 80.0
0:09.90 : 56.2
0:10.04 : 75.0
0:10.15 : 66.7
0:10.29 : 68.8
0:10.40 : 68.8
0:10.53 : 73.3
0:10.63 : 53.3
0:10.76 : 73.3
0:10.87 : 53.3
0:10.99 : 62.5
0:11.12 : 73.3
0:11.24 : 73.3
0:11.38 : 60.0
0:11.50 : 66.7
0:11.63 : 53.3
0:11.75 : 73.3
0:11.88 : 60.0
0:11.98 : 66.7
0:12.12 : 73.3
0:12.22 : 53.3
0:12.33 : 66.7
0:12.46 : 66.7
0:12.55 : 60.0
0:12.68 : 68.8
0:12.77 : 43.8
0:12.89 : 73.3
0:13.01 : 66.7
0:13.13 : 60.0
0:13.22 : 60.0
0:13.35 : 66.7
0:13.47 : 60.0
0:13.55 : 53.3
0:13.68 : 62.5
0:13.79 : 60.0
0:13.89 : 53.3
0:13.99 : 66.7
0:14.12 : 66.7
0:14.23 : 53.3
0:14.33 : 66.7
0:14.45 : 66.7
