process1 : process2 : process3 : process4 : proccess5
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : python3 : systemd : init-systemd(Ub : init
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : snapfuse : snapfuse : systemd : init-systemd(Ub
snapfuse : mem.sh : snapfuse : python3 : systemd
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
mem.sh : systemd : init-systemd(Ub : init : systemd-journal
