time : mem
0:01.11 : 93.3
0:01.29 : 93.3
0:01.47 : 93.3
0:01.64 : 93.3
0:01.81 : 93.3
0:01.99 : 100.0
0:02.16 : 93.3
0:02.34 : 87.5
0:02.49 : 80.0
0:02.67 : 93.3
0:02.83 : 86.7
0:03.01 : 86.7
0:03.18 : 86.7
0:03.36 : 86.7
0:03.54 : 93.3
0:03.71 : 93.3
0:03.89 : 93.3
0:04.04 : 80.0
0:04.20 : 86.7
0:04.37 : 86.7
0:04.54 : 86.7
0:04.69 : 81.2
0:04.84 : 80.0
0:05.01 : 75.0
0:05.18 : 93.3
0:05.34 : 86.7
0:05.50 : 81.2
0:05.66 : 75.0
0:05.76 : 66.7
0:05.90 : 66.7
0:06.02 : 60.0
0:06.12 : 60.0
0:06.25 : 60.0
0:06.38 : 60.0
0:06.51 : 60.0
0:06.60 : 53.3
0:06.75 : 73.3
0:06.88 : 60.0
0:06.98 : 60.0
0:07.10 : 53.3
0:07.19 : 40.0
0:07.32 : 60.0
0:07.44 : 56.2
0:07.52 : 53.3
0:07.64 : 66.7
0:07.76 : 46.7
0:07.89 : 60.0
0:08.01 : 68.8
0:08.16 : 80.0
0:08.25 : 53.3
